licenceId,licenceNumber,licensee,channel,frequency,location,status,txrx,suppressed
434026,426350,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM239",95.9,"LONG BAY ROAD","Current","TX",false
434025,426410,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM411",104.5,"OMARAMA","Current","TX",false
434024,426370,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM223",95.1,"FOREST HEIGHTS","Current","TX",false
434023,426346,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM121",90.0,"PAEROA RANGE","Current","TX",false
434022,426359,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM291",98.5,"CAVALIER HOUSE","Current","TX",false
434021,426343,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM211",94.5,"CAVALIER HOUSE","Current","TX",false
434020,426403,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM423",105.1,"CAVE HILL JDA","Current","TX",false
434019,426387,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM337",100.8,"WHAKAROA","Current","TX",false
434018,426351,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM419",104.9,"Moir Hill Mediaworks","Current","TX",false
434017,426337,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM429",105.4,"NATIONAL PARK","Current","TX",false
434016,426339,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM097",88.8,"PENINSULA HILL","Current","TX",false
434015,426419,"The Crown acting by and through the Chief Executive of the Ministry of Business, Innovation, and Employment","FM423",105.1,"PAPAROA","Current","TX",false
